Cores,N_train,N_test,N_reg,Opt_iter,Total_time,Init_time,Opt_Time,Pred_Var_time,Pred_time,N_loop
4,20000,5000,100,1,1103.2334501743317,0.020077943801879883,650.8414914608002,226.0156192779541,225.5484700202942,5
4,20000,5000,100,1,1108.5987985134125,0.020708084106445312,656.9144775867462,225.67315435409546,225.0909948348999,6
4,20000,5000,100,1,1104.6456995010376,0.05913043022155762,653.6281867027283,225.1273341178894,224.8113148212433,7
4,20000,5000,100,1,1099.5942115783691,0.02156662940979004,656.2683968544006,219.9253125190735,222.4454264640808,8
4,20000,5000,100,1,1092.072830438614,0.021505355834960938,651.0811998844147,220.03886198997498,220.07266783714294,9
8,20000,5000,100,1,976.5198330879211,0.05730915069580078,531.1943869590759,223.37415838241577,220.86058449745178,0
8,20000,5000,100,1,1005.2132017612457,0.02099323272705078,550.3985211849213,228.7020833492279,225.15497660636902,1
8,20000,5000,100,1,1020.1805131435394,0.021839618682861328,547.3042135238647,238.52985382080078,233.37143301963806,2
8,20000,5000,100,1,992.7381825447083,0.020728111267089844,529.0352680683136,231.28120350837708,231.44955492019653,3
8,20000,5000,100,1,962.5884635448456,0.022650718688964844,526.2228634357452,217.86981463432312,217.7138671875,4
8,20000,5000,100,1,995.2445118427277,0.02065253257751465,544.6911852359772,228.65566515922546,221.01125574111938,5
8,20000,5000,100,1,975.1794292926788,0.02102494239807129,529.8704669475555,223.9639823436737,220.38382935523987,6
8,20000,5000,100,1,964.2679526805878,0.021916866302490234,523.6070897579193,220.29157280921936,219.39872574806213,7
8,20000,5000,100,1,990.151882648468,0.02079296112060547,545.085284948349,222.73328590393066,221.40564846992493,8
8,20000,5000,100,1,982.8089592456818,0.05907797813415527,528.6837501525879,227.29444432258606,225.74197697639465,9
16,20000,5000,100,1,924.7538163661957,0.060369014739990234,467.6167776584625,229.22089838981628,226.81768226623535,0
16,20000,5000,100,1,912.8628613948822,0.0212705135345459,470.924076795578,222.43825149536133,218.51952934265137,1
16,20000,5000,100,1,933.0753853321075,0.020825624465942383,485.4596095085144,224.62215065956116,221.91412377357483,2
16,20000,5000,100,1,940.8032875061035,0.0208737850189209,489.92975783348083,226.95913648605347,222.82843804359436,3
16,20000,5000,100,1,929.1442296504974,0.020941972732543945,472.81209087371826,232.76261019706726,222.54423570632935,4
16,20000,5000,100,1,986.7629029750824,0.32111382484436035,520.3655188083649,237.05583429336548,227.99285912513733,5
16,20000,5000,100,1,925.1473269462585,0.1236259937286377,476.46774077415466,225.60628747940063,221.88246250152588,6
16,20000,5000,100,1,917.0511226654053,0.020821809768676758,471.56088399887085,225.72084760665894,218.9196925163269,7
16,20000,5000,100,1,933.6049814224243,0.020041227340698242,482.4999990463257,228.12825918197632,221.95313048362732,8
16,20000,5000,100,1,909.5718538761139,0.0204007625579834,473.73737621307373,217.458753824234,217.66819429397583,9
32,20000,5000,100,1,951.8224959373474,0.06140565872192383,489.1624667644501,231.61364340782166,229.94771027565002,0
32,20000,5000,100,1,899.6910035610199,0.02115464210510254,443.1898229122162,233.93287014961243,221.60569667816162,1
32,20000,5000,100,1,897.8517603874207,0.020995378494262695,445.65294218063354,229.53582572937012,221.665776014328,2
32,20000,5000,100,1,900.0583004951477,0.02251911163330078,443.1911561489105,232.82486486434937,223.03919386863708,3
32,20000,5000,100,1,891.9433598518372,0.022130250930786133,443.48977160453796,225.61599564552307,221.87393260002136,4
32,20000,5000,100,1,892.2330775260925,0.02097773551940918,439.81000328063965,232.2170810699463,219.20165181159973,5
32,20000,5000,100,1,897.4542410373688,0.021045923233032227,441.67887020111084,232.22636437416077,222.6972827911377,6
32,20000,5000,100,1,889.3470194339752,0.021680831909179688,450.9801216125488,219.94929456710815,217.62888622283936,7
32,20000,5000,100,1,871.8110313415527,0.020145416259765625,433.8493564128876,219.64159202575684,217.50704050064087,8
32,20000,5000,100,1,887.7249596118927,0.020761966705322266,447.2402079105377,220.0288233757019,219.45286631584167,9
64,20000,5000,100,1,889.6776039600372,0.0643167495727539,433.3927321434021,233.07697916030884,222.09114599227905,0
64,20000,5000,100,1,868.6567649841309,0.021545886993408203,426.8290739059448,221.849059343338,219.00828742980957,1
64,20000,5000,100,1,878.9923989772797,0.020242929458618164,426.014532327652,229.49217200279236,222.6691129207611,2
64,20000,5000,100,1,883.459361076355,0.020096540451049805,424.5567264556885,224.2937617301941,233.79655146598816,3
64,20000,5000,100,1,882.7576434612274,0.027994394302368164,444.63771986961365,218.09009432792664,219.18121719360352,4
