Cores,N_train,N_test,N_reg,Opt_iter,Total_time,Init_time,Opt_Time,Pred_Var_time,Pred_time,N_loop
1,10000,5000,100,1,275.76281213760376,0.16308903694152832,228.46605515480042,46.74200201034546,0.0,0
1,10000,5000,100,1,274.9778788089752,0.014738321304321289,227.8361780643463,46.75568222999573,0.0,1
1,10000,5000,100,1,275.1194558143616,0.014598369598388672,228.0499782562256,46.630051374435425,0.0,2
1,10000,5000,100,1,275.1330909729004,0.015292167663574219,228.08029413223267,46.61475586891174,0.0,3
1,10000,5000,100,1,274.9058117866516,0.015119791030883789,227.8771584033966,46.59162402153015,0.0,4
1,10000,5000,100,1,272.41977286338806,0.013844490051269531,225.39499378204346,46.598061323165894,0.0,5
1,10000,5000,100,1,274.7534599304199,0.014736413955688477,227.61359977722168,46.70913767814636,0.0,6
1,10000,5000,100,1,274.9422233104706,0.013942956924438477,227.88908672332764,46.620622873306274,0.0,7
1,10000,5000,100,1,274.6143743991852,0.014441490173339844,227.51166367530823,46.66975736618042,0.0,8
1,10000,5000,100,1,274.38583636283875,0.014549970626831055,227.5995774269104,46.3528573513031,0.0,9
2,10000,5000,100,1,179.54053926467896,0.052201271057128906,133.63151097297668,45.463433027267456,0.0,0
2,10000,5000,100,1,166.68454885482788,0.014379739761352539,121.0320508480072,45.26369905471802,0.0,1
2,10000,5000,100,1,165.50629806518555,0.014148473739624023,119.89589738845825,45.18374967575073,0.0,2
2,10000,5000,100,1,173.66079449653625,0.014575719833374023,127.55357098579407,45.67646098136902,0.0,3
2,10000,5000,100,1,171.690012216568,0.01455378532409668,125.44616222381592,45.80714726448059,0.0,4
2,10000,5000,100,1,166.59111189842224,0.014042139053344727,121.06170535087585,45.0962450504303,0.0,5
2,10000,5000,100,1,166.1221969127655,0.014200687408447266,120.66283655166626,45.02978873252869,0.0,6
2,10000,5000,100,1,165.87006092071533,0.014518499374389648,120.32871341705322,45.10952949523926,0.0,7
2,10000,5000,100,1,181.91550636291504,0.01413273811340332,135.71027421951294,45.77824330329895,0.0,8
2,10000,5000,100,1,185.04265594482422,0.013994932174682617,138.82534503936768,45.78766059875488,0.0,9
4,10000,5000,100,1,131.13780283927917,0.16495323181152344,85.92771124839783,44.65193486213684,0.0,0
4,10000,5000,100,1,127.65648293495178,0.014817953109741211,83.24918746948242,44.01659655570984,0.0,1
4,10000,5000,100,1,127.34914898872375,0.015317678451538086,82.90634155273438,43.99516820907593,0.0,2
4,10000,5000,100,1,127.1585168838501,0.014615535736083984,82.68116497993469,44.042842626571655,0.0,3
4,10000,5000,100,1,127.25952816009521,0.014409065246582031,82.8260908126831,43.99095129966736,0.0,4
4,10000,5000,100,1,127.46206450462341,0.014600276947021484,82.87373042106628,44.156583309173584,0.0,5
4,10000,5000,100,1,126.99278283119202,0.014559030532836914,82.53893113136292,44.0150191783905,0.0,6
4,10000,5000,100,1,127.74283647537231,0.014568090438842773,83.12758207321167,44.1741828918457,0.0,7
4,10000,5000,100,1,133.0769522190094,0.014078617095947266,88.06909513473511,44.574549198150635,0.0,8
4,10000,5000,100,1,127.05039143562317,0.01471400260925293,82.6278088092804,43.978182554244995,0.0,9
8,10000,5000,100,1,113.61511611938477,0.17365217208862305,68.66048622131348,44.39024233818054,0.0,0
8,10000,5000,100,1,113.59194040298462,0.015105247497558594,68.69182109832764,44.490771770477295,0.0,1
8,10000,5000,100,1,112.9329297542572,0.014078378677368164,68.34026765823364,44.130576848983765,0.0,2
8,10000,5000,100,1,111.36021161079407,0.014690399169921875,66.99348545074463,43.90424156188965,0.0,3
8,10000,5000,100,1,111.76032257080078,0.014059066772460938,67.1196985244751,44.172385692596436,0.0,4
8,10000,5000,100,1,111.44642210006714,0.014189004898071289,67.25089263916016,43.72455143928528,0.0,5
8,10000,5000,100,1,111.29372239112854,0.014074563980102539,66.99705243110657,43.83544373512268,0.0,6
8,10000,5000,100,1,112.19847965240479,0.014131307601928711,67.4359335899353,44.29349899291992,0.0,7
8,10000,5000,100,1,112.08220267295837,0.013890981674194336,67.39364743232727,44.224719762802124,0.0,8
8,10000,5000,100,1,111.25409126281738,0.015007972717285156,66.94260334968567,43.839698791503906,0.0,9
16,10000,5000,100,1,103.49710059165955,0.19777655601501465,59.75476694107056,43.1383101940155,0.0,0
