Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
1,10000,5000,25,100,1,130.765,0.000139755,68.0125,38.233,24.274,0
1,10000,5000,25,100,1,129.612,0.000225267,67.4717,37.9237,24.1665,1
1,10000,5000,25,100,1,129.28,3.0241e-05,67.0716,37.9963,24.1596,2
1,10000,5000,25,100,1,129.595,8.8083e-05,67.3195,38.0288,24.1936,3
1,10000,5000,25,100,1,129.489,8.5932e-05,67.2764,38.0306,24.1317,4
1,10000,5000,25,100,1,129.241,2.954e-05,67.0728,37.9371,24.1812,5
1,10000,5000,25,100,1,129.706,8.4593e-05,67.3972,38.0453,24.2118,6
1,10000,5000,25,100,1,129.553,8.7093e-05,67.3111,38.0432,24.1216,7
1,10000,5000,25,100,1,129.295,2.8771e-05,67.0213,38.0499,24.1726,8
1,10000,5000,25,100,1,129.816,2.8131e-05,67.415,38.1016,24.2465,9
2,10000,5000,25,100,1,67.695,8.3363e-05,35.8522,19.4523,12.34,0
2,10000,5000,25,100,1,67.7807,2.9241e-05,35.9292,19.4439,12.3586,1
2,10000,5000,25,100,1,67.8261,5.2281e-05,35.9356,19.4813,12.3599,2
2,10000,5000,25,100,1,67.7076,5.5542e-05,35.7828,19.5032,12.3647,3
2,10000,5000,25,100,1,67.7232,7.7072e-05,35.8338,19.4649,12.374,4
2,10000,5000,25,100,1,67.7059,0.000122663,35.812,19.4711,12.3714,5
2,10000,5000,25,100,1,67.655,8.1032e-05,35.7799,19.4737,12.3521,6
2,10000,5000,25,100,1,67.7771,8.4893e-05,35.8651,19.4891,12.3736,7
2,10000,5000,25,100,1,67.6942,7.4002e-05,35.7816,19.4553,12.3758,8
2,10000,5000,25,100,1,67.9333,8.0413e-05,36.0389,19.4735,12.3711,9
4,10000,5000,25,100,1,38.4618,8.2552e-05,21.1616,10.6848,6.56401,0
4,10000,5000,25,100,1,38.1683,2.6501e-05,20.9928,10.595,6.55585,1
4,10000,5000,25,100,1,38.0749,2.7631e-05,20.8679,10.6238,6.53066,2
4,10000,5000,25,100,1,38.2197,5.3561e-05,21.0116,10.6214,6.56233,3
4,10000,5000,25,100,1,38.3573,2.7241e-05,21.0762,10.6734,6.55491,4
4,10000,5000,25,100,1,38.2772,9.9833e-05,21.0187,10.6879,6.54426,5
4,10000,5000,25,100,1,38.3502,2.8351e-05,21.1117,10.6215,6.5644,6
4,10000,5000,25,100,1,38.2687,2.7501e-05,21.0222,10.6726,6.54795,7
4,10000,5000,25,100,1,38.3593,7.7743e-05,21.0747,10.6304,6.60137,8
4,10000,5000,25,100,1,38.1854,2.6781e-05,20.9724,10.6269,6.56072,9
8,10000,5000,25,100,1,21.7126,2.8871e-05,12.1528,5.90377,3.59994,0
8,10000,5000,25,100,1,21.6308,1.965e-05,12.0832,5.90105,3.61928,1
8,10000,5000,25,100,1,21.7014,3.2212e-05,12.1291,5.92886,3.61562,2
8,10000,5000,25,100,1,21.7429,4.3762e-05,12.1967,5.88751,3.60362,3
8,10000,5000,25,100,1,21.7265,2.427e-05,12.194,5.88874,3.61627,4
8,10000,5000,25,100,1,21.6774,6.9762e-05,12.1278,5.90432,3.61751,5
8,10000,5000,25,100,1,21.7139,7.1232e-05,12.131,5.89107,3.63603,6
8,10000,5000,25,100,1,21.6835,4.7272e-05,12.1704,5.86759,3.61872,7
8,10000,5000,25,100,1,21.6691,1.521e-05,12.1666,5.89784,3.5808,8
8,10000,5000,25,100,1,21.7694,2.2241e-05,12.1863,5.89445,3.63177,9
16,10000,5000,25,100,1,11.806,4.7192e-05,6.63865,3.19189,1.94134,0
16,10000,5000,25,100,1,11.747,2.1061e-05,6.55558,3.20016,1.95978,1
16,10000,5000,25,100,1,11.8052,4.4702e-05,6.61232,3.21439,1.94685,2
16,10000,5000,25,100,1,11.8131,2.4641e-05,6.62182,3.21951,1.94046,3
16,10000,5000,25,100,1,11.8347,4.7422e-05,6.62749,3.19553,1.95222,4
16,10000,5000,25,100,1,11.7744,4.6421e-05,6.60284,3.19051,1.94931,5
16,10000,5000,25,100,1,11.7677,2.15e-05,6.58379,3.20023,1.94943,6
16,10000,5000,25,100,1,11.7479,2.1531e-05,6.54696,3.21813,1.94927,7
16,10000,5000,25,100,1,11.7227,2.2041e-05,6.5313,3.19835,1.95566,8
16,10000,5000,25,100,1,11.6951,1.777e-05,6.53532,3.18224,1.94838,9
32,10000,5000,25,100,1,7.19843,2.1981e-05,4.03695,1.92915,1.15472,0
32,10000,5000,25,100,1,7.19809,5.0412e-05,4.03995,1.93247,1.17763,1
32,10000,5000,25,100,1,7.23254,2.2071e-05,4.08816,1.91481,1.18294,2
32,10000,5000,25,100,1,7.21641,3.4891e-05,4.07254,1.93609,1.16633,3
32,10000,5000,25,100,1,7.19422,3.7941e-05,4.04876,1.93088,1.17092,4
32,10000,5000,25,100,1,7.29963,2.113e-05,4.10426,1.96811,1.18372,5
32,10000,5000,25,100,1,7.23602,9.9033e-05,4.08256,1.93992,1.1629,6
32,10000,5000,25,100,1,7.27785,2.297e-05,4.13537,1.93357,1.16499,7
32,10000,5000,25,100,1,7.32715,2.1301e-05,4.16192,1.94233,1.17883,8
32,10000,5000,25,100,1,7.23704,1.9801e-05,4.03414,1.91923,1.18265,9
64,10000,5000,25,100,1,5.77901,2.1461e-05,3.31916,1.48667,0.899028,0
64,10000,5000,25,100,1,5.75476,3.3231e-05,3.2822,1.48526,0.91883,1
64,10000,5000,25,100,1,5.8563,2.9651e-05,3.34587,1.52432,0.921785,2
64,10000,5000,25,100,1,5.77236,3.0091e-05,3.23576,1.53755,0.932377,3
64,10000,5000,25,100,1,5.83503,3.2411e-05,3.26176,1.57402,0.929883,4
64,10000,5000,25,100,1,5.93984,2.6611e-05,3.2924,1.64453,0.932912,5
64,10000,5000,25,100,1,6.08953,2.6161e-05,3.34694,1.70064,0.974546,6
64,10000,5000,25,100,1,6.06334,2.9211e-05,3.35197,1.68233,0.956635,7
64,10000,5000,25,100,1,6.03799,2.9121e-05,3.31383,1.69119,0.967954,8
64,10000,5000,25,100,1,6.11688,3.1151e-05,3.32053,1.73708,0.982913,9
128,10000,5000,25,100,1,9.66074,2.981e-05,5.56805,2.68256,1.26619,0
128,10000,5000,25,100,1,10.2586,3.0731e-05,6.03016,2.80121,1.30219,1
128,10000,5000,25,100,1,10.4828,2.8021e-05,6.23094,2.8031,1.32338,2
128,10000,5000,25,100,1,10.6263,4.1191e-05,6.39692,2.79524,1.31184,3
128,10000,5000,25,100,1,11.007,4.2921e-05,6.62745,2.84098,1.40295,4
128,10000,5000,25,100,1,10.7666,3.5921e-05,6.61131,2.7268,1.2976,5
128,10000,5000,25,100,1,10.8002,6.7653e-05,6.57231,2.75805,1.31635,6
128,10000,5000,25,100,1,10.6911,5.9752e-05,6.61721,2.62981,1.30933,7
128,10000,5000,25,100,1,10.2124,5.5332e-05,6.27536,2.58734,1.22829,8
128,10000,5000,25,100,1,10.3675,5.2842e-05,6.37372,2.6005,1.26018,9
                                                                                                                                                                                          75,1          Bot
