Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
1,20000,5000,100,100,1,915.66,0.000243358,606.901,184.34,124.274,0
1,20000,5000,100,100,1,880.914,0.00032898,579.526,179.516,121.709,1
1,20000,5000,100,100,1,882.826,0.000128823,581.077,179.728,121.896,2
1,20000,5000,100,100,1,882.647,0.000140464,580.823,179.865,121.797,3
1,20000,5000,100,100,1,882.946,0.000124144,581.087,179.902,121.828,4
1,20000,5000,100,100,1,883.176,0.000170455,581.258,179.882,121.886,5
1,20000,5000,100,100,1,883.133,0.000120213,581.329,179.851,121.826,6
1,20000,5000,100,100,1,882.75,0.000182605,580.836,179.944,121.821,7
1,20000,5000,100,100,1,882.762,0.000200547,580.955,179.78,121.89,8
1,20000,5000,100,100,1,883.343,0.000192696,581.412,179.909,121.873,9
2,20000,5000,100,100,1,443.11,0.000251428,292.033,89.9764,60.9261,0
2,20000,5000,100,100,1,442.352,0.000345481,291.875,89.6347,60.7121,1
2,20000,5000,100,100,1,441.726,0.000129154,291.159,89.7479,60.7582,2
2,20000,5000,100,100,1,441.816,0.000191496,291.102,89.7356,60.8269,3
2,20000,5000,100,100,1,441.768,0.000123754,291.081,89.7604,60.8686,4
2,20000,5000,100,100,1,442.032,0.000159995,291.319,89.791,60.7947,5
2,20000,5000,100,100,1,442.795,0.00029578,292.046,89.8421,60.8201,6
2,20000,5000,100,100,1,442.109,0.000146885,291.447,89.7403,60.7948,7
2,20000,5000,100,100,1,441.566,0.000179926,291.091,89.755,60.6581,8
2,20000,5000,100,100,1,442.197,0.000127244,291.413,89.8874,60.7428,9
4,20000,5000,100,100,1,228.478,0.000192636,151.173,45.9717,31.2713,0
4,20000,5000,100,100,1,227.959,0.000200956,150.784,46.0907,31.02,1
4,20000,5000,100,100,1,228.145,6.4313e-05,150.956,45.8709,31.2268,2
4,20000,5000,100,100,1,228.461,5.4312e-05,150.884,46.2135,31.2989,3
4,20000,5000,100,100,1,227.814,6.0952e-05,150.151,46.3582,31.2422,4
4,20000,5000,100,100,1,229.009,0.000136364,151.428,46.3114,31.2005,5
4,20000,5000,100,100,1,229.02,0.000165485,151.414,46.2021,31.3041,6
4,20000,5000,100,100,1,229.011,5.7431e-05,151.55,46.2498,31.1489,7
4,20000,5000,100,100,1,228.355,0.000116064,150.634,46.4313,31.2277,8
4,20000,5000,100,100,1,228.153,9.8483e-05,150.575,46.2177,31.2981,9
8,20000,5000,100,100,1,133.056,0.000167515,88.1721,26.8969,17.8893,0
8,20000,5000,100,100,1,133.522,7.3342e-05,88.8377,26.8793,17.7415,1
8,20000,5000,100,100,1,134.043,0.00031877,89.3761,26.8129,17.7877,2
8,20000,5000,100,100,1,134.137,0.000114833,89.532,26.7693,17.7704,3
8,20000,5000,100,100,1,134.172,5.4082e-05,89.2714,27.0111,17.8275,4
8,20000,5000,100,100,1,133.727,0.000467935,89.1015,26.6694,17.8863,5
8,20000,5000,100,100,1,133.522,0.000100863,89.0041,26.6934,17.7589,6
8,20000,5000,100,100,1,134.229,0.000142504,89.4339,26.8155,17.8896,7
8,20000,5000,100,100,1,132.861,6.3552e-05,88.2025,26.783,17.8127,8
8,20000,5000,100,100,1,133.862,6.4852e-05,88.9688,27.0042,17.8198,9
16,20000,5000,100,100,1,79.4441,8.4313e-05,53.3391,15.7428,10.2866,0
16,20000,5000,100,100,1,79.0008,9.2413e-05,53.0718,15.617,10.2396,1
16,20000,5000,100,100,1,79.4185,6.2882e-05,53.3853,15.7975,10.167,2
16,20000,5000,100,100,1,78.9064,6.2122e-05,52.8171,15.6752,10.3417,3
16,20000,5000,100,100,1,80.0546,6.3462e-05,53.9221,15.8377,10.2256,4
16,20000,5000,100,100,1,79.7761,8.8993e-05,53.3505,15.8952,10.4598,5
16,20000,5000,100,100,1,80.1674,6.2382e-05,53.7777,16.0315,10.2882,6
16,20000,5000,100,100,1,79.1103,6.0933e-05,52.813,15.9022,10.3018,7
16,20000,5000,100,100,1,79.3438,6.4462e-05,53.1257,15.7093,10.435,8
16,20000,5000,100,100,1,79.1798,9.1583e-05,53.0306,15.7751,10.3045,9
32,20000,5000,100,100,1,60.6078,9.3743e-05,41.5389,11.6262,7.35662,0
32,20000,5000,100,100,1,60.3385,5.5072e-05,41.1446,11.7194,7.3884,1
32,20000,5000,100,100,1,60.8378,6.2892e-05,41.6618,11.6847,7.43194,2
32,20000,5000,100,100,1,60.9917,6.3882e-05,41.9017,11.4956,7.51017,3
32,20000,5000,100,100,1,60.8872,0.000137414,41.7019,11.6777,7.42486,4
32,20000,5000,100,100,1,60.7348,9.4772e-05,41.6564,11.6036,7.38875,5
32,20000,5000,100,100,1,60.2228,0.000126334,41.1194,11.6115,7.40955,6
32,20000,5000,100,100,1,60.3109,6.2532e-05,41.1725,11.7696,7.30909,7
32,20000,5000,100,100,1,60.744,5.2202e-05,41.6468,11.6601,7.3481,8
32,20000,5000,100,100,1,60.4826,6.0092e-05,41.4693,11.633,7.28934,9
64,20000,5000,100,100,1,52.3726,5.6742e-05,36.1466,9.76175,6.34271,0
64,20000,5000,100,100,1,54.3638,6.2302e-05,37.6031,10.179,6.49916,1
64,20000,5000,100,100,1,55.0011,6.2682e-05,37.8797,10.4073,6.56004,2
64,20000,5000,100,100,1,55.0435,7.1572e-05,38.0551,10.3362,6.56538,3
64,20000,5000,100,100,1,54.8366,7.2122e-05,37.746,10.3094,6.64657,4
64,20000,5000,100,100,1,55.2675,0.000182446,38.2064,10.3868,6.58424,5
64,20000,5000,100,100,1,55.0272,0.000118903,38.0073,10.3163,6.58509,6
64,20000,5000,100,100,1,54.6375,0.000124914,37.6926,10.316,6.53995,7
64,20000,5000,100,100,1,54.8829,8.1372e-05,37.8934,10.3338,6.54017,8
64,20000,5000,100,100,1,55.1167,7.9392e-05,38.0866,10.3965,6.54595,9
128,20000,5000,100,100,1,96.3413,7.7702e-05,70.8131,15.9246,9.40788,0
128,20000,5000,100,100,1,81.4832,0.000107383,59.7012,13.682,7.89809,1
128,20000,5000,100,100,1,78.2011,0.000106434,56.4596,13.412,8.13009,2
128,20000,5000,100,100,1,78.0834,9.5754e-05,57.3526,12.7573,7.77577,3
128,20000,5000,100,100,1,73.6944,0.000169085,52.7625,12.7941,7.93108,4
128,20000,5000,100,100,1,74.4639,0.000248888,53.0254,13.1761,8.06811,5
128,20000,5000,100,100,1,75.3727,0.000153415,52.5034,13.47,8.16942,6
128,20000,5000,100,100,1,73.8988,0.000126604,52.1492,13.5408,7.99963,7
128,20000,5000,100,100,1,73.317,0.000119553,51.7959,13.2916,8.02859,8
128,20000,5000,100,100,1,74.0146,0.000151544,52.9239,13.0664,7.81996,9
