Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
16,20000,5000,1,100,1,834.977,0.000192496,522.389,179.647,132.81,0
16,20000,5000,1,100,1,830.772,0.000423353,517.5,179.29,133.847,1
16,20000,5000,1,100,1,831.613,0.000124304,517.796,179.387,134.273,2
16,20000,5000,1,100,1,833.968,0.000113513,519.627,179.699,134.51,3
16,20000,5000,1,100,1,837.074,0.000113624,521.123,181.551,134.237,4
16,20000,5000,1,100,1,835.927,0.000122563,522.212,180.131,133.454,5
16,20000,5000,1,100,1,836.378,0.000105793,520.871,180.978,134.362,6
16,20000,5000,1,100,1,835.712,0.000103613,520.464,180.918,134.188,7
16,20000,5000,1,100,1,830.193,0.000109873,516.164,179.521,134.349,8
16,20000,5000,1,100,1,836.602,0.000148775,521.216,180.822,134.412,9

Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
16,20000,5000,2,100,1,424.775,0.000276119,218.635,106.304,99.6835,0
16,20000,5000,2,100,1,423.343,0.000173556,217.157,106.245,99.8722,1
16,20000,5000,2,100,1,422.356,0.000127564,216.76,105.498,99.9621,2
16,20000,5000,2,100,1,422.074,0.000125264,216.643,105.714,99.5949,3
16,20000,5000,2,100,1,423.039,6.5182e-05,216.698,105.724,100.485,4
16,20000,5000,2,100,1,422.3,0.000119754,216.125,105.728,100.37,5
16,20000,5000,2,100,1,422.99,0.000166995,216.917,105.715,100.191,6
16,20000,5000,2,100,1,422.959,0.000175646,216.854,106.003,100.036,7
16,20000,5000,2,100,1,423.514,0.000244538,216.726,106.043,100.614,8
16,20000,5000,2,100,1,422.313,0.000123924,216.922,105.753,99.5743,9


Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
16,20000,5000,4,100,1,140.381,0.000246637,71.0024,36.0531,33.1397,0
16,20000,5000,4,100,1,140.652,0.000191376,70.9063,36.62,33.06,1
16,20000,5000,4,100,1,139.672,9.0193e-05,69.2751,36.7796,33.5511,2
16,20000,5000,4,100,1,141.582,8.9223e-05,71.0628,36.9926,33.4591,3
16,20000,5000,4,100,1,141.394,0.000104893,70.724,37.5058,33.0984,4
16,20000,5000,4,100,1,139.933,9.5494e-05,70.1108,37.102,32.6567,5
16,20000,5000,4,100,1,141.706,8.2063e-05,70.4026,37.7992,33.4407,6
16,20000,5000,4,100,1,140.635,6.5572e-05,70.3394,37.007,33.2,7
16,20000,5000,4,100,1,139.988,0.000158345,70.6608,36.3953,32.8658,8
16,20000,5000,4,100,1,141.816,0.000197896,70.8232,37.2103,33.715,9


Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
16,20000,5000,8,100,1,66.6065,0.000262468,38.8495,14.6416,12.956,0
16,20000,5000,8,100,1,65.5052,0.000152715,37.4088,15.0402,12.9905,1
16,20000,5000,8,100,1,66.1789,0.000115983,37.4909,15.1388,13.4848,2
16,20000,5000,8,100,1,66.1161,0.000151764,38.0607,14.8185,13.1436,3
16,20000,5000,8,100,1,67.0589,0.000109954,38.7501,15.0313,13.211,4
16,20000,5000,8,100,1,66.8773,0.000584778,38.4289,15.0884,13.2925,5
