Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop

64,20000,5000,1,100,1,855.477,0.000263428,533.431,184.963,136.867,0
64,20000,5000,1,100,1,852.765,0.000486725,531.292,185.148,136.157,1
64,20000,5000,1,100,1,850.467,0.000123693,531.249,183.369,135.642,2
64,20000,5000,1,100,1,843.848,0.000213436,526.698,181.496,135.465,3
64,20000,5000,1,100,1,849.544,0.000193766,530.787,182.514,136.043,4
64,20000,5000,1,100,1,847.866,0.000230577,528.352,183.838,135.509,5
64,20000,5000,1,100,1,850.738,0.000119494,530.5,183.534,136.514,6
64,20000,5000,1,100,1,852.951,0.000178955,533.031,182.843,136.912,7
64,20000,5000,1,100,1,850.57,0.000154835,531.009,183.102,136.264,8
64,20000,5000,1,100,1,846.083,0.000188316,528.064,182.002,135.856,9


64,20000,5000,2,100,1,444.07,0.000194507,228.157,111.31,104.424,0
64,20000,5000,2,100,1,439.348,0.00032701,224.399,111.487,103.298,1
64,20000,5000,2,100,1,439.244,0.000195116,225.52,109.955,103.625,2
64,20000,5000,2,100,1,439.671,0.000113854,224.443,111.393,103.668,3
64,20000,5000,2,100,1,439.109,0.000130834,225.065,110.112,103.837,4
64,20000,5000,2,100,1,439.983,0.000178395,225.288,110.324,104.159,5
64,20000,5000,2,100,1,442.004,0.000136814,226.314,111.337,104.263,6
64,20000,5000,2,100,1,440.23,0.000125354,226.697,110.034,103.298,7
64,20000,5000,2,100,1,440.548,0.000142475,226.122,110.646,103.649,8
64,20000,5000,2,100,1,441.241,0.000122613,226.688,110.918,103.472,9


64,20000,5000,4,100,1,149.684,0.000256407,74.676,39.1961,35.618,0
64,20000,5000,4,100,1,150.868,5.8032e-05,75.7859,39.304,35.6755,1
64,20000,5000,4,100,1,149.702,0.000119184,73.9955,39.5675,35.9932,2
64,20000,5000,4,100,1,149.327,5.1922e-05,74.5193,39.0952,35.6161,3
64,20000,5000,4,100,1,149.205,0.000224117,74.3938,39.3719,35.338,4
64,20000,5000,4,100,1,150.199,0.000128434,74.9966,39.638,35.4626,5
64,20000,5000,4,100,1,149.588,0.000182255,73.9479,39.7962,35.7421,6
64,20000,5000,4,100,1,149.977,0.000163456,74.6832,39.3581,35.8451,7
64,20000,5000,4,100,1,148.975,0.000104703,73.7524,39.1049,35.1928,8
64,20000,5000,4,100,1,150.04,8.5692e-05,74.8155,39.088,36.0313,9


64,20000,5000,8,100,1,53.2769,0.000248487,28.2137,12.9333,11.9429,0
64,20000,5000,8,100,1,53.5268,6.0052e-05,28.047,13.275,12.133,1
64,20000,5000,8,100,1,53.1911,5.3712e-05,28.177,12.9071,12.0114,2
64,20000,5000,8,100,1,52.7332,5.3701e-05,27.901,12.8987,11.8717,3
64,20000,5000,8,100,1,54.4983,6.3502e-05,28.3852,13.1773,12.0053,4
64,20000,5000,8,100,1,53.6933,6.3293e-05,28.3699,13.0516,12.2087,5
64,20000,5000,8,100,1,52.779,0.000119543,27.7509,13.0903,11.846,6
64,20000,5000,8,100,1,53.3041,5.3972e-05,28.0215,13.1749,12.0456,7
64,20000,5000,8,100,1,52.9295,6.0502e-05,27.9126,12.991,11.9344,8
64,20000,5000,8,100,1,53.2386,9.9883e-05,27.9701,13.2689,11.9356,9

64,20000,5000,25,100,1,30.883,0.000263219,19.5273,7.01402,4.14295,0
64,20000,5000,25,100,1,30.0147,8.7802e-05,18.6625,7.00221,4.26533,1
64,20000,5000,25,100,1,29.8498,7.9282e-05,18.5008,6.98637,4.24594,2
64,20000,5000,25,100,1,30.0993,6.2682e-05,18.6812,7.04594,4.2915,3
64,20000,5000,25,100,1,30.2148,6.2852e-05,18.9895,7.01728,4.1208,4
64,20000,5000,25,100,1,30.3133,6.4482e-05,18.8408,7.06732,4.29436,5
64,20000,5000,25,100,1,30.0916,6.1302e-05,18.6814,7.08412,4.23724,6
64,20000,5000,25,100,1,29.9901,6.2462e-05,18.4668,7.11344,4.3273,7
64,20000,5000,25,100,1,29.8864,5.3572e-05,18.5757,6.91401,4.28482,8
64,20000,5000,25,100,1,29.7938,9.6023e-05,18.483,6.96007,4.26957,9


64,20000,5000,50,100,1,38.3534,0.00034908,25.8002,7.91438,4.42885,0
64,20000,5000,50,100,1,36.9227,0.000110023,24.1759,8.15014,4.50971,1
64,20000,5000,50,100,1,36.6573,0.000140684,23.9936,8.08101,4.46465,2
64,20000,5000,50,100,1,36.94,0.000109103,24.0452,8.30273,4.50745,3
64,20000,5000,50,100,1,37.0017,0.000102224,23.9007,8.43723,4.53706,4
64,20000,5000,50,100,1,37.0494,7.2642e-05,24.0311,8.41121,4.52763,5
64,20000,5000,50,100,1,36.9846,6.0791e-05,23.9619,8.35945,4.55486,6
64,20000,5000,50,100,1,36.7083,0.000101543,23.7402,8.38886,4.49727,7
64,20000,5000,50,100,1,37.1445,5.5562e-05,23.9936,8.47455,4.53533,8
64,20000,5000,50,100,1,36.8638,7.0982e-05,23.9263,8.34939,4.50814,9


64,20000,5000,100,100,1,55.6829,0.000268278,39.1077,10.0098,6.31807,0
64,20000,5000,100,100,1,54.1442,0.000113583,37.5002,10.0964,6.4546,1
64,20000,5000,100,100,1,54.9447,0.000116883,37.9011,10.3988,6.5133,2
64,20000,5000,100,100,1,54.8862,9.1163e-05,37.848,10.3633,6.58031,3
64,20000,5000,100,100,1,55.0704,7.0412e-05,38.0752,10.3436,6.53156,4
64,20000,5000,100,100,1,54.7315,9.5203e-05,37.8733,10.2588,6.5109,5
64,20000,5000,100,100,1,54.8173,7.1442e-05,37.7505,10.4056,6.53922,6
64,20000,5000,100,100,1,55.2779,7.5593e-05,38.22,10.3994,6.56904,7
64,20000,5000,100,100,1,54.5923,8.1172e-05,37.5973,10.4321,6.44648,8
64,20000,5000,100,100,1,54.8756,7.7102e-05,38.0185,10.2195,6.54842,9


64,20000,5000,200,100,1,176.512,0.000258268,123.53,34.2267,18.541,0
64,20000,5000,200,100,1,170.766,0.000226367,120.81,31.3253,18.4861,1
64,20000,5000,200,100,1,170.827,7.3942e-05,121.346,31.0519,18.2941,2
64,20000,5000,200,100,1,171.366,9.7163e-05,121.752,31.1579,18.3184,3
64,20000,5000,200,100,1,170.444,9.9663e-05,121.158,30.9714,18.1864,4
64,20000,5000,200,100,1,171.293,6.2461e-05,121.771,31.1399,18.219,5
64,20000,5000,200,100,1,171.011,7.5592e-05,121.66,30.9581,18.2586,6
64,20000,5000,200,100,1,170.941,6.4222e-05,121.44,31.1725,18.1913,7
64,20000,5000,200,100,1,171.142,7.6822e-05,121.729,31.0717,18.204,8
64,20000,5000,200,100,1,171.423,7.0002e-05,121.201,31.0237,19.0658,9


64,20000,5000,500,100,1,2336.65,0.000275548,1921.2,303.66,111.415,0
64,20000,5000,500,100,1,2356.29,5.7392e-05,1917.69,314.12,124.031,1
64,20000,5000,500,100,1,2425.25,0.000184606,1941,310.467,173.38,2
64,20000,5000,500,100,1,2542.73,0.000112374,1958.42,472.096,111.903,3
64,20000,5000,500,100,1,2417.57,0.000113884,1971.74,311.364,134.03,4
64,20000,5000,500,100,1,2521.74,0.000269998,1928.8,479.069,113.486,5
64,20000,5000,500,100,1,2351.55,0.000242957,1931,309.977,110.157,6
64,20000,5000,500,100,1,2334.56,0.000136344,1936.55,306.59,91.1068,7
64,20000,5000,500,100,1,2398.92,0.000111664,1946.5,315.619,136.48,8
64,20000,5000,500,100,1,2445.89,6.4432e-05,1968.27,322.148,155.016,9

