Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
1,30000,5000,100,100,0,827.317,0.000357662,3e-08,513.328,313.837,0
1,30000,5000,100,100,0,805.803,0.000223347,6e-08,500.11,305.57,1
1,30000,5000,100,100,0,803.379,0.000722143,7e-08,498.652,304.564,2
1,30000,5000,100,100,0,803.551,0.000422313,5e-08,498.943,304.482,3
1,30000,5000,100,100,0,805.102,0.000409303,5e-08,499.49,305.453,4
1,30000,5000,100,100,0,802.552,0.000412983,6e-08,498.069,304.348,5
1,30000,5000,100,100,0,802.73,0.000438233,5e-08,498.238,304.309,6
1,30000,5000,100,100,0,802.427,0.00031756,8e-08,498.002,304.294,7
1,30000,5000,100,100,0,803.269,0.000422083,7e-08,498.581,304.526,8
1,30000,5000,100,100,0,803.126,0.00062689,6e-08,498.438,304.559,9
2,30000,5000,100,100,0,405.54,0.000430713,5e-08,251.823,153.555,0
2,30000,5000,100,100,0,406.609,0.000269599,6e-08,251.963,154.585,1
2,30000,5000,100,100,0,405.644,0.000190906,1e-07,251.768,153.732,2
2,30000,5000,100,100,0,406.277,0.000274729,9e-08,252.056,154.118,3
2,30000,5000,100,100,0,407.057,0.000306719,5e-08,253.308,153.618,4
2,30000,5000,100,100,0,405.161,0.00064321,6e-08,251.417,153.674,5
2,30000,5000,100,100,0,404.114,0.000291919,6e-08,251.273,152.68,6
2,30000,5000,100,100,0,402.929,0.000189286,4e-08,250.523,152.344,7
2,30000,5000,100,100,0,405.236,0.000308909,7e-08,250.587,154.516,8
2,30000,5000,100,100,0,407.014,0.000295989,5e-08,252.835,154.083,9
4,30000,5000,100,100,0,217.52,0.000206337,1.4e-07,133.666,83.7159,0
4,30000,5000,100,100,0,215.27,0.000185636,1.4e-07,131.739,83.4654,1
4,30000,5000,100,100,0,215.478,0.000210977,8e-08,132.288,83.1182,2
4,30000,5000,100,100,0,217.299,0.000347951,1.5e-07,133.301,83.8999,3
4,30000,5000,100,100,0,216.95,0.000210247,1.29e-07,133.506,83.3821,4
4,30000,5000,100,100,0,216.606,0.000351501,6e-08,133.047,83.4899,5
4,30000,5000,100,100,0,215.625,0.000183616,1.51e-07,132.102,83.4598,6
4,30000,5000,100,100,0,217.465,0.000137634,1.4e-07,133.838,83.5583,7
4,30000,5000,100,100,0,217.094,0.000200967,6e-08,133.533,83.4477,8
4,30000,5000,100,100,0,217.778,0.000198606,8e-08,133.264,84.4491,9
8,30000,5000,100,100,0,123.921,0.000444814,6e-08,76.002,47.8489,0
8,30000,5000,100,100,0,123.108,0.000144084,1.3e-07,74.9492,48.0843,1
8,30000,5000,100,100,0,122.714,0.000188766,4e-08,75.067,47.5777,2
8,30000,5000,100,100,0,125.153,8.2072e-05,1.4e-07,76.7111,48.3713,3
8,30000,5000,100,100,0,124.365,0.000260388,8e-08,76.386,47.8833,4
8,30000,5000,100,100,0,125.523,0.000388023,6e-08,76.6155,48.8289,5
8,30000,5000,100,100,0,124.137,0.000171655,8e-08,76.3511,47.7197,6
8,30000,5000,100,100,0,126.263,0.000175995,1e-07,77.6406,48.5502,7
8,30000,5000,100,100,0,124.799,0.000197356,8e-08,76.8353,47.8959,8
8,30000,5000,100,100,0,124.232,0.000185486,1.4e-07,76.4593,47.7073,9
16,30000,5000,100,100,0,69.5876,0.000177336,1.4e-07,43.4482,26.0652,0
16,30000,5000,100,100,0,70.2636,0.000134244,1.4e-07,44.1905,26.0003,1
16,30000,5000,100,100,0,70.574,0.000108483,1.4e-07,44.7426,25.7587,2
16,30000,5000,100,100,0,70.0068,0.000108903,1e-07,43.9027,25.9973,3
16,30000,5000,100,100,0,70.6543,0.000158835,1.3e-07,44.5357,26.0457,4
16,30000,5000,100,100,0,70.0545,0.000142535,4e-08,43.9553,26.0279,5
16,30000,5000,100,100,0,69.9021,8.2533e-05,6e-08,43.8131,25.9996,6
16,30000,5000,100,100,0,70.4873,0.000103614,9e-08,44.4642,25.9485,7
16,30000,5000,100,100,0,70.4937,0.000526757,8e-08,44.1657,26.2455,8
16,30000,5000,100,100,0,70.1708,0.000184426,8e-08,43.9909,26.1075,9
32,30000,5000,100,100,0,46.2513,7.7982e-05,1.1e-07,30.0152,16.1478,0
32,30000,5000,100,100,0,45.6524,7.8272e-05,8e-08,29.265,16.3298,1
32,30000,5000,100,100,0,45.9777,0.000194737,8e-08,29.7001,16.1902,2
32,30000,5000,100,100,0,46.1249,8.0482e-05,8e-08,29.7879,16.2801,3
32,30000,5000,100,100,0,46.4055,0.000177235,9e-08,30.1822,16.1319,4
32,30000,5000,100,100,0,46.1685,0.000133845,8e-08,29.7431,16.3683,5
32,30000,5000,100,100,0,46.0355,9.2913e-05,9e-08,29.7167,16.234,6
32,30000,5000,100,100,0,46.0498,9.6113e-05,8e-08,29.8602,16.1319,7
32,30000,5000,100,100,0,46.0773,0.000136134,1e-07,29.8554,16.1335,8
32,30000,5000,100,100,0,46.3513,0.000144105,8e-08,30.0157,16.277,9
64,30000,5000,100,100,0,39.4655,8.0662e-05,1.4e-07,25.9176,13.3963,0
64,30000,5000,100,100,0,42.4259,0.000317401,1.4e-07,27.9357,14.3824,1
64,30000,5000,100,100,0,43.5029,0.000216296,1.5e-07,28.8424,14.5298,2
64,30000,5000,100,100,0,44.1294,0.000130744,1.29e-07,29.2,14.8396,3
64,30000,5000,100,100,0,44.7875,0.000119734,1.31e-07,29.6969,14.9747,4
64,30000,5000,100,100,0,44.9538,0.000119324,1.3e-07,29.722,15.1424,5
64,30000,5000,100,100,0,45.2721,0.000129695,1.9e-07,30.1314,15.0211,6
64,30000,5000,100,100,0,45.5017,9.6943e-05,1.8e-07,30.0942,15.3183,7
64,30000,5000,100,100,0,46.121,0.000184726,1.3e-07,30.6138,15.3896,8
64,30000,5000,100,100,0,45.2991,9.7163e-05,1.6e-07,30.1559,15.054,9
128,30000,5000,100,100,0,76.0725,0.000103444,1.3e-07,52.8699,22.9917,0
128,30000,5000,100,100,0,71.6625,0.000186525,1.7e-07,48.2177,23.2369,1
128,30000,5000,100,100,0,68.4044,0.000131084,2.4e-07,45.1411,23.044,2
128,30000,5000,100,100,0,67.4956,0.000260628,1.4e-07,43.8455,23.4375,3
128,30000,5000,100,100,0,73.2501,0.000206306,1.3e-07,45.5668,27.4705,4
128,30000,5000,100,100,0,69.3633,0.000342991,1.4e-07,45.5521,23.596,5
128,30000,5000,100,100,0,69.846,0.000197286,2.94e-06,45.6385,23.996,6
128,30000,5000,100,100,0,72.8534,0.000565128,2.1e-07,48.0212,24.5858,7
128,30000,5000,100,100,0,71.3504,0.000216297,1.8e-07,45.5249,25.6153,8
128,30000,5000,100,100,0,76.6125,0.000254798,1.3e-07,51.2155,25.1851,9
                                                                                                                                                                                          81,1          Bot

