ores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Cholesky_time,Opt_time,Pred_Uncer_time,Pred_Full_time,Pred_time,N_loop
32,20000,5000,25,100,0,24.8059,0.00033895,1.5e-07,6e-08,8.90152,10.4138,5.43282,1
32,20000,5000,25,100,0,24.4648,9.8794e-05,1.4e-07,6e-08,8.69129,10.2856,5.43691,2
32,20000,5000,25,100,0,24.543,0.000115224,1.4e-07,6e-08,8.7758,10.333,5.3549,3
32,20000,5000,25,100,0,24.413,5.9972e-05,1e-07,4e-08,8.70605,10.3429,5.31411,4
32,20000,5000,25,100,0,24.4557,5.5012e-05,1.51e-07,6e-08,8.70125,10.3092,5.39018,5
32,20000,5000,25,100,0,24.5345,9.9544e-05,1e-07,5e-08,8.76313,10.3256,5.35982,6
32,20000,5000,25,100,0,24.4782,0.000113583,1e-07,5.1e-08,8.77182,10.2699,5.38651,7
32,20000,5000,25,100,0,24.3841,0.000116544,1e-07,4.9e-08,8.68431,10.3303,5.31643,8
32,20000,5000,25,100,0,24.6636,0.000395352,1e-07,4.9e-08,8.80549,10.4064,5.36213,9
64,20000,5000,25,100,0,19.6573,8.9363e-05,1.5e-07,6e-08,7.12791,8.29201,4.1591,0
64,20000,5000,25,100,0,19.9279,7.9392e-05,1.4e-07,6e-08,7.23028,8.27802,4.33484,1
64,20000,5000,25,100,0,20.0483,0.000112653,1.4e-07,6e-08,7.11305,8.45366,4.36688,2
64,20000,5000,25,100,0,20.0802,0.000115324,1.4e-07,6e-08,7.27629,8.36793,4.35118,3
64,20000,5000,25,100,0,20.3563,9.6452e-05,1.4e-07,6e-08,7.31929,8.58266,4.37554,4
64,20000,5000,25,100,0,20.4481,6.6492e-05,1.8e-07,9e-08,7.30927,8.5453,4.49137,5
64,20000,5000,25,100,0,20.1295,6.3942e-05,1.8e-07,8e-08,7.15074,8.54432,4.36132,6
64,20000,5000,25,100,0,20.4736,6.4422e-05,1.31e-07,6e-08,7.25197,8.68771,4.45947,7
64,20000,5000,25,100,0,20.7104,6.0912e-05,1.7e-07,9e-08,7.37889,8.78867,4.41241,8
64,20000,5000,25,100,0,20.6429,9.9813e-05,1.5e-07,7e-08,7.22217,8.768,4.57756,9
128,20000,5000,25,100,0,28.9386,6.1792e-05,1.4e-07,5e-08,9.64776,13.74,5.43188,0
128,20000,5000,25,100,0,29.4463,0.000117224,1.8e-07,6.9e-08,11.4954,12.5275,5.25389,1
128,20000,5000,25,100,0,29.0798,9.9704e-05,1.4e-07,7e-08,10.2552,13.1377,5.5712,2
128,20000,5000,25,100,0,29.3639,9.8503e-05,1.7e-07,8e-08,11.621,12.4748,5.15122,3
128,20000,5000,25,100,0,28.5213,0.000131334,1.4e-07,6e-08,10.0913,12.5636,5.7024,4
128,20000,5000,25,100,0,29.5619,8.1252e-05,1.4e-07,5e-08,10.5798,13.1287,5.73108,5
128,20000,5000,25,100,0,29.3933,8.3593e-05,1.4e-07,6e-08,10.5251,12.9933,5.75301,6
128,20000,5000,25,100,0,29.5386,8.5993e-05,1.8e-07,8e-08,11.1452,12.6963,5.50726,7
128,20000,5000,25,100,0,29.7601,0.000179486,1.4e-07,5e-08,10.9875,13.109,5.5405,8
128,20000,5000,25,100,0,30.5581,0.000129954,1.2e-07,6.9e-08,10.8695,13.5949,5.96049,9
