Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Cholesky_time,Opt_time,Pred_Uncer_time,Pred_Full_time,Pred_time,N_loop
32,10000,5000,25,100,1,10.0393,2.8061e-05,1.2e-07,4.09337,1.92455,2.76815,1.17598,0
32,10000,5000,25,100,1,9.98773,2.5851e-05,1e-07,4.07718,1.92752,2.77934,1.1574,1
32,10000,5000,25,100,1,10.0797,2.453e-05,8e-08,4.14917,1.93467,2.76209,1.18795,2
32,10000,5000,25,100,1,9.97941,4.4402e-05,1.4e-07,4.04463,1.94673,2.77138,1.17231,3
32,10000,5000,25,100,1,9.99688,3.1571e-05,1e-07,4.06641,1.92911,2.7849,1.16972,4
32,10000,5000,25,100,1,10.0582,2.5131e-05,1e-07,4.15002,1.93075,2.76722,1.16302,5
32,10000,5000,25,100,1,9.98504,2.7481e-05,8e-08,4.05671,1.92891,2.78823,1.16349,6
32,10000,5000,25,100,1,10.0311,2.5991e-05,9e-08,4.05304,1.92959,2.7876,1.1879,7
32,10000,5000,25,100,1,10.0521,4.3941e-05,1e-07,4.08859,1.94181,2.79753,1.17823,8
32,10000,5000,25,100,1,10.0428,2.5021e-05,8e-08,4.08814,1.92874,2.80915,1.17104,9
64,10000,5000,25,100,1,8.00579,2.8751e-05,1.8e-07,3.25396,1.46026,2.30276,0.914567,0
64,10000,5000,25,100,1,8.50254,3.1031e-05,1.4e-07,3.41013,1.56433,2.50603,0.949923,1
64,10000,5000,25,100,1,8.67864,2.6611e-05,1.2e-07,3.26589,1.68718,2.66261,0.991077,2
64,10000,5000,25,100,1,8.88439,3.0101e-05,1.3e-07,3.31994,1.7458,2.74814,0.996277,3
64,10000,5000,25,100,1,9.24753,4.0092e-05,1.3e-07,3.47596,1.84189,2.8284,1.00702,4
64,10000,5000,25,100,1,9.2139,3.1421e-05,1.3e-07,3.36911,1.8886,2.85568,1.0262,5
64,10000,5000,25,100,1,9.3544,2.9101e-05,2.2e-07,3.43777,1.90103,2.91835,1.02685,6
64,10000,5000,25,100,1,9.54465,3.2941e-05,1.3e-07,3.56162,1.91338,2.96997,1.02939,7
64,10000,5000,25,100,1,9.4926,3.8591e-05,1.3e-07,3.44354,1.97279,2.96239,1.04117,8
64,10000,5000,25,100,1,9.49504,3.5311e-05,1.2e-07,3.48093,1.91005,2.9676,1.06336,9
128,10000,5000,25,100,1,15.3505,3.0871e-05,1.9e-07,6.26252,2.94002,4.65656,1.35883,0
128,10000,5000,25,100,1,15.9383,4.8522e-05,1.31e-07,6.54285,3.01792,4.82783,1.38796,1
128,10000,5000,25,100,1,15.4968,5.6811e-05,8e-08,6.7443,2.91934,4.45822,1.24438,2
128,10000,5000,25,100,1,14.5019,5.1142e-05,1.9e-07,6.29621,2.64011,4.1693,1.26054,3
128,10000,5000,25,100,1,14.68,4.7251e-05,1.7e-07,6.35677,2.66831,4.2341,1.27072,4
128,10000,5000,25,100,1,14.7345,4.8442e-05,1.69e-07,6.3901,2.71325,4.19033,1.2811,5
128,10000,5000,25,100,1,14.3392,4.8162e-05,1.7e-07,6.40968,2.59563,3.93504,1.26148,6
128,10000,5000,25,100,1,14.2282,8.2273e-05,1.8e-07,6.39519,2.53057,3.93964,1.22411,7
128,10000,5000,25,100,1,14.031,5.5242e-05,2e-07,6.23346,2.51313,3.93228,1.22012,8
128,10000,5000,25,100,1,14.3526,7.0572e-05,1.8e-07,6.38837,2.60223,3.9551,1.265,9
