Cores,N_train,N_test,N_Tiles,N_reg,Opt_iter,Total_time,Init_time,Opt_Time,Pred_Var_time,Pred_Full_time,Pred_time,N_loop
1,20000,5000,25,100,0,440.70437455177307,0.0022661685943603516,9.5367431640625e-07,156.1079409122467,184.88700675964355,99.56594681739807,0
1,20000,5000,25,100,0,441.539076089859,0.0018744468688964844,4.76837158203125e-07,156.2103888988495,185.29051661491394,99.90997433662415,1
1,20000,5000,25,100,0,440.61606097221375,0.0018155574798583984,7.152557373046875e-07,155.8008096218109,185.08125162124634,99.64620232582092,2
1,20000,5000,25,100,0,440.8990979194641,0.0018169879913330078,7.152557373046875e-07,156.01282930374146,184.9496123790741,99.81201791763306,3
1,20000,5000,25,100,0,440.6653354167938,0.0017809867858886719,4.76837158203125e-07,156.01128458976746,184.8992645740509,99.69064402580261,4
1,20000,5000,25,100,0,440.77766942977905,0.0017960071563720703,4.76837158203125e-07,155.985680103302,184.981787443161,99.65754723548889,5
1,20000,5000,25,100,0,440.7577862739563,0.0017511844635009766,4.76837158203125e-07,156.12891149520874,184.92999911308289,99.63568925857544,6
1,20000,5000,25,100,0,440.8872563838959,0.0018482208251953125,4.76837158203125e-07,156.03747463226318,185.11597299575806,99.60985088348389,7
1,20000,5000,25,100,0,440.8738729953766,0.0017838478088378906,4.76837158203125e-07,155.87054061889648,185.1376233100891,99.77516031265259,8
1,20000,5000,25,100,0,441.1040470600128,0.001836538314819336,9.5367431640625e-07,156.01619338989258,185.04435110092163,99.91956162452698,9
2,20000,5000,25,100,0,233.00413513183594,0.0017962455749511719,4.76837158203125e-07,83.15875744819641,98.11597990989685,51.67030644416809,0
2,20000,5000,25,100,0,232.93488383293152,0.0018572807312011719,4.76837158203125e-07,83.10748720169067,98.09986853599548,51.63053369522095,1
2,20000,5000,25,100,0,232.9895534515381,0.0019211769104003906,7.152557373046875e-07,83.20313167572021,98.15471577644348,51.57291889190674,2
2,20000,5000,25,100,0,233.00972509384155,0.0018124580383300781,2.384185791015625e-07,83.15401077270508,98.00422477722168,51.79294729232788,3
2,20000,5000,25,100,0,233.10075187683105,0.0016832351684570312,7.152557373046875e-07,83.28593349456787,98.07130694389343,51.685546875,4
2,20000,5000,25,100,0,233.10529732704163,0.0020401477813720703,1.1920928955078125e-06,83.2898588180542,98.07264351844788,51.64644742012024,5
2,20000,5000,25,100,0,232.99814105033875,0.0020253658294677734,7.152557373046875e-07,83.18030071258545,97.98276972770691,51.775808334350586,6
2,20000,5000,25,100,0,232.79136443138123,0.0017130374908447266,4.76837158203125e-07,83.13725566864014,97.89348530769348,51.70478057861328,7
2,20000,5000,25,100,0,233.11628365516663,0.0017671585083007812,4.76837158203125e-07,83.2236123085022,98.05283975601196,51.784223794937134,8
2,20000,5000,25,100,0,232.091392993927,0.001935720443725586,2.384185791015625e-07,82.8031907081604,97.61174201965332,51.5715217590332,9
4,20000,5000,25,100,0,124.6574125289917,0.00167083740234375,2.1457672119140625e-06,44.413920879364014,53.046674728393555,27.128989219665527,0
4,20000,5000,25,100,0,124.02594685554504,0.002870321273803711,2.384185791015625e-07,44.09041237831116,52.86304998397827,26.997559070587158,1
4,20000,5000,25,100,0,124.21058368682861,0.0028684139251708984,4.76837158203125e-07,44.20718717575073,52.939215421676636,26.999091386795044,2
4,20000,5000,25,100,0,124.09025120735168,0.003785371780395508,2.1457672119140625e-06,44.13870167732239,52.96339702606201,26.911843061447144,3
4,20000,5000,25,100,0,124.30752801895142,0.0017457008361816406,2.1457672119140625e-06,44.32500982284546,52.87179446220398,27.051389932632446,4
4,20000,5000,25,100,0,124.19342088699341,0.0016775131225585938,4.76837158203125e-07,44.18541979789734,52.95806813240051,26.988980293273926,5
