Cores,N_train,N_test,N_reg,Opt_iter,Total_time,Init_time,Opt_Time,Pred_Var_time,Pred_time,N_loop
1,20000,5000,100,1,64.86175465583801,0.7846720218658447,36.493773460388184,24.649866104125977,1.88905930519104,0
1,20000,5000,100,1,61.35253953933716,0.0013394355773925781,35.02841830253601,23.700123071670532,1.797593593597412,1
1,20000,5000,100,1,61.16295623779297,0.0012488365173339844,35.21311593055725,23.39683723449707,1.7965068817138672,2
1,20000,5000,100,1,61.73192548751831,0.0011646747589111328,35.4556782245636,23.658725261688232,1.9057209491729736,3
1,20000,5000,100,1,62.05975294113159,0.001247406005859375,35.600221157073975,23.903879642486572,1.8072834014892578,4
1,20000,5000,100,1,61.57894539833069,0.0012614727020263672,35.29815673828125,23.64640212059021,1.9071013927459717,5
1,20000,5000,100,1,61.5391891002655,0.0013828277587890625,34.92968463897705,24.089777946472168,1.7992756366729736,6
1,20000,5000,100,1,62.2758309841156,0.0012469291687011719,35.71653962135315,23.924485445022583,1.9055960178375244,7
1,20000,5000,100,1,62.30254030227661,0.0012333393096923828,35.73000717163086,23.949684381484985,1.9119043350219727,8
1,20000,5000,100,1,62.457294940948486,0.0012364387512207031,35.49730467796326,24.337663888931274,1.912837266921997,9
2,20000,5000,100,1,42.84752631187439,0.0012366771697998047,19.658406496047974,21.48565673828125,0.9894735813140869,0
2,20000,5000,100,1,42.60701942443848,0.0012404918670654297,19.531615734100342,21.47058892250061,0.9088146686553955,1
2,20000,5000,100,1,43.22292971611023,0.0012390613555908203,19.668989658355713,21.77958869934082,1.0024394989013672,2
2,20000,5000,100,1,43.06610321998596,0.0012314319610595703,19.75200581550598,21.617947816848755,0.9922780990600586,3
2,20000,5000,100,1,42.80446982383728,0.0012590885162353516,19.80872631072998,21.289962768554688,0.9896724224090576,4
2,20000,5000,100,1,42.79426646232605,0.001245737075805664,19.943246364593506,21.19030499458313,0.9416539669036865,5
2,20000,5000,100,1,43.042232275009155,0.0014605522155761719,19.819549322128296,21.461203813552856,1.048917293548584,6
2,20000,5000,100,1,43.38253664970398,0.0012865066528320312,20.017345666885376,21.668970346450806,0.9910924434661865,7
2,20000,5000,100,1,43.223384141922,0.0012671947479248047,20.25521445274353,21.271499156951904,0.986314058303833,8
2,20000,5000,100,1,43.076130390167236,0.0012507438659667969,20.063271522521973,21.317920207977295,0.9803235530853271,9
4,20000,5000,100,1,32.55240082740784,0.0012454986572265625,10.791139602661133,20.535414457321167,0.5242598056793213,0
4,20000,5000,100,1,32.90679740905762,0.0012257099151611328,10.670411109924316,21.01629900932312,0.512779951095581,1
4,20000,5000,100,1,32.24090766906738,0.0012483596801757812,10.481732368469238,20.53702139854431,0.5181496143341064,2
4,20000,5000,100,1,32.43846082687378,0.0012385845184326172,10.636267185211182,20.567841291427612,0.5223937034606934,3
4,20000,5000,100,1,32.288198947906494,0.001277923583984375,10.690319776535034,20.37501049041748,0.519014835357666,4
4,20000,5000,100,1,33.50395917892456,0.0012388229370117188,11.650794267654419,20.63029670715332,0.5130171775817871,5
4,20000,5000,100,1,32.38347816467285,0.0012438297271728516,10.59544849395752,20.52730655670166,0.5444579124450684,6
4,20000,5000,100,1,32.54791474342346,0.0013277530670166016,10.561311483383179,20.64558720588684,0.5379414558410645,7
4,20000,5000,100,1,32.126906871795654,0.0012693405151367188,10.696721315383911,20.060866594314575,0.5746462345123291,8
4,20000,5000,100,1,32.394851207733154,0.001251220703125,10.560825824737549,20.55217719078064,0.5361547470092773,9
8,20000,5000,100,1,29.56088423728943,0.0012569427490234375,7.275277137756348,21.106703281402588,0.40154504776000977,0
8,20000,5000,100,1,29.71371293067932,0.001283884048461914,7.543846368789673,20.979151487350464,0.32680487632751465,1
8,20000,5000,100,1,27.9348201751709,0.00128936767578125,6.971163511276245,19.713364124298096,0.4114997386932373,2
8,20000,5000,100,1,28.241831064224243,0.0012514591217041016,7.129444360733032,19.912892818450928,0.3502657413482666,3
8,20000,5000,100,1,27.972493886947632,0.001252889633178711,6.994927167892456,19.765171766281128,0.4181654453277588,4
8,20000,5000,100,1,28.259006023406982,0.0012617111206054688,7.137141942977905,19.88477897644043,0.38675689697265625,5
8,20000,5000,100,1,28.27151393890381,0.0012600421905517578,7.016101121902466,20.049813985824585,0.41945600509643555,6
8,20000,5000,100,1,28.338276147842407,0.0014529228210449219,7.113975524902344,19.955028772354126,0.415905237197876,7
8,20000,5000,100,1,28.69467854499817,0.0012660026550292969,7.033831596374512,20.376104593276978,0.4150516986846924,8
8,20000,5000,100,1,28.63245701789856,0.0012660026550292969,7.336655378341675,20.00694227218628,0.41539478302001953,9
16,20000,5000,100,1,26.71921467781067,0.001279592514038086,5.564584970474243,19.94563102722168,0.34845566749572754,0
16,20000,5000,100,1,26.4111270904541,0.00127410888671875,5.601478338241577,19.581653594970703,0.3542141914367676,1
16,20000,5000,100,1,26.39351224899292,0.0012781620025634766,5.465145111083984,19.70142650604248,0.36391282081604004,2
