Cores,N_train,N_test,N_reg,Opt_iter,Total_time,Init_time,Opt_Time,Pred_Var_time,Pred_time,N_loop
64,10000,5000,100,0,6.123677968978882,0.9355466365814209,2.384185791015625e-07,4.6540687084198,0.13628602027893066,0
64,10000,5000,100,0,5.488777160644531,0.0012695789337158203,0.0,4.999593257904053,0.12494087219238281,1
64,10000,5000,100,0,5.454150199890137,0.0013740062713623047,2.384185791015625e-07,4.947080612182617,0.13601326942443848,2
64,10000,5000,100,0,5.0701515674591064,0.0015594959259033203,0.0,4.570895195007324,0.1256103515625,3
64,10000,5000,100,0,5.393731355667114,0.0013761520385742188,2.384185791015625e-07,4.914968252182007,0.12688732147216797,4
64,10000,5000,100,0,9.901014804840088,0.0013360977172851562,0.0,9.347231149673462,0.1992499828338623,5
64,10000,5000,100,0,6.860872268676758,0.0016765594482421875,0.0,6.258238315582275,0.14920997619628906,6
64,10000,5000,100,0,5.162564277648926,0.001569509506225586,0.0,4.6584014892578125,0.12873053550720215,7
64,10000,5000,100,0,5.064216613769531,0.0013327598571777344,2.384185791015625e-07,4.583247900009155,0.13602733612060547,8
64,10000,5000,100,0,5.130263090133667,0.0013954639434814453,2.384185791015625e-07,4.637253284454346,0.13188385963439941,9
64,20000,5000,100,0,21.497714519500732,0.0036847591400146484,2.384185791015625e-07,20.008639574050903,0.26038289070129395,0
64,20000,5000,100,0,21.483139753341675,0.001382589340209961,0.0,20.177525281906128,0.24844813346862793,1
64,20000,5000,100,0,21.375183582305908,0.0013072490692138672,0.0,20.064780950546265,0.24463677406311035,2
64,20000,5000,100,0,19.946159839630127,0.0013399124145507812,0.0,18.769594430923462,0.1956651210784912,3
64,20000,5000,100,0,28.530435800552368,0.0012814998626708984,2.384185791015625e-07,27.620447158813477,0.2814137935638428,4
64,20000,5000,100,0,36.07857918739319,0.0016827583312988281,2.384185791015625e-07,34.62532019615173,0.41474175453186035,5
64,20000,5000,100,0,32.698734998703,0.0014643669128417969,2.384185791015625e-07,31.83701252937317,0.19789624214172363,6
64,20000,5000,100,0,19.424139499664307,0.0017397403717041016,0.0,18.403233289718628,0.21265721321105957,7
64,20000,5000,100,0,25.338730096817017,0.0014154911041259766,0.0,24.405202388763428,0.2534644603729248,8
64,20000,5000,100,0,20.381368398666382,0.0014295578002929688,2.384185791015625e-07,19.21537947654724,0.28451085090637207,9
64,30000,5000,100,0,57.61292266845703,0.001405477523803711,0.0,55.51422429084778,0.3186061382293701,0
64,30000,5000,100,0,50.036659717559814,0.0013277530670166016,0.0,47.88337755203247,0.3422412872314453,1
64,30000,5000,100,0,55.93742108345032,0.0013453960418701172,0.0,53.81318998336792,0.2909231185913086,2
64,30000,5000,100,0,51.146098136901855,0.0014314651489257812,2.384185791015625e-07,49.16888999938965,0.2518291473388672,3
64,30000,5000,100,0,50.26346778869629,0.0013322830200195312,2.384185791015625e-07,48.4740035533905,0.2814760208129883,4
64,30000,5000,100,0,49.296605825424194,0.0013461112976074219,2.384185791015625e-07,47.518677711486816,0.281785249710083,5
64,30000,5000,100,0,51.25287413597107,0.0012564659118652344,0.0,49.40443658828735,0.2805900573730469,6
64,30000,5000,100,0,50.16228652000427,0.0012841224670410156,2.384185791015625e-07,48.39762210845947,0.2836790084838867,7
64,30000,5000,100,0,52.84461331367493,0.0014371871948242188,0.0,51.09492015838623,0.27785611152648926,8
64,30000,5000,100,0,51.778703689575195,0.0012984275817871094,2.384185791015625e-07,49.99749517440796,0.27886533737182617,9
64,40000,5000,100,0,99.0790684223175,0.0014088153839111328,0.0,96.1319739818573,0.3719332218170166,0
64,40000,5000,100,0,119.88127207756042,0.0012984275817871094,0.0,116.76024723052979,0.35195302963256836,1
64,40000,5000,100,0,115.11634969711304,0.0013689994812011719,2.384185791015625e-07,111.67705082893372,0.6740083694458008,2
64,40000,5000,100,0,153.70213413238525,0.001615285873413086,2.384185791015625e-07,149.64549326896667,0.6743996143341064,3
64,40000,5000,100,0,114.9735906124115,0.0019338130950927734,0.0,99.88718056678772,0.4284226894378662,4
64,40000,5000,100,0,148.54465007781982,0.001581430435180664,2.384185791015625e-07,145.30029153823853,0.4979736804962158,5
64,40000,5000,100,0,97.7967529296875,0.0014147758483886719,4.76837158203125e-07,93.59941172599792,0.5993313789367676,6
64,40000,5000,100,0,136.63586831092834,0.0015528202056884766,2.384185791015625e-07,133.3941147327423,0.4925553798675537,7
64,40000,5000,100,0,136.1659333705902,0.0015709400177001953,0.0,132.74115872383118,0.4554111957550049,8
64,40000,5000,100,0,91.17222476005554,0.001684427261352539,2.384185791015625e-07,88.03658246994019,0.5474686622619629,9
64,50000,5000,100,0,181.2933394908905,0.00148773193359375,0.0,175.12799096107483,0.5917224884033203,0
64,50000,5000,100,0,154.34934377670288,0.001539468765258789,0.0,149.07107639312744,0.6947989463806152,1
64,50000,5000,100,0,184.17645931243896,0.0014204978942871094,0.0,176.72986817359924,0.6316096782684326,2
64,50000,5000,100,0,196.60470700263977,0.0022478103637695312,2.384185791015625e-07,191.02655911445618,0.5901339054107666,3
64,50000,5000,100,0,164.3417248725891,0.0012829303741455078,0.0,157.6702356338501,0.6123437881469727,4
